# Logfile created on 2026-01-04 17:55:58 +0100 by logger.rb/v1.5.3
2026-01-04 17:55:58 +0100: Memory Usage (435008K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/PhaseInterpolator/inv.gds
2026-01-04 17:55:58 +0100: Memory Usage (435008K) : Ruby Version for klayout: 3.2.3
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : Loading database to memory is complete.
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/PhaseInterpolator/drc_run_inv/inv_inv_main.lyrdb
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : Evaluate switches.
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : tables selected: main
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : KLayout will use 1 thread(s) in tiled mode.
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : deep mode is enabled.
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : FEOL enabled: true
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : BEOL enabled: true
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : OFFGRID enabled: true
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : PIN enabled: true
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : FORBIDDEN enabled: true
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : RECOMMENDED enabled: true
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : PreCheck DRC enabled: false
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : CONNECTIVITY_RULES enabled: true.
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : Read in polygons from layers.
2026-01-04 17:55:58 +0100: Memory Usage (435052K) : activ_drw has 7 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : activ_pin has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : activ_mask has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : activ_filler has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : activ_nofill has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : activ_opc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : activ_iopc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : activ_noqrc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : biwind_drw has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : biwind_opc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : pemwind_drw has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : gatpoly_drw has 5 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : gatpoly_pin has 1 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : gatpoly_filler has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : gatpoly_nofill has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : gatpoly_opc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : gatpoly_iopc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : gatpoly_noqrc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : cont_drw has 10 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437248K) : cont_opc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437296K) : nsd_drw has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437296K) : nsd_block has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437296K) : metal1_drw has 12 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437296K) : metal1_pin has 6 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437296K) : metal1_mask has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437296K) : metal1_filler has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437296K) : metal1_nofill has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437296K) : metal1_slit has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437556K) : metal1_text has 2 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437556K) : metal1_opc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437556K) : metal1_noqrc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437556K) : metal1_res has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437556K) : metal1_iprobe has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437556K) : metal1_diffprb has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (437556K) : passiv_drw has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438052K) : passiv_pin has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438052K) : passiv_sbump has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438052K) : passiv_pillar has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438052K) : passiv_pdl has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438052K) : metal2_drw has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438316K) : metal2_pin has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438316K) : metal2_mask has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438316K) : metal2_filler has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438316K) : metal2_nofill has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438316K) : metal2_slit has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438580K) : metal2_text has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438676K) : metal2_opc has 0 polygons
2026-01-04 17:55:58 +0100: Memory Usage (438676K) : metal2_noqrc has 0 polygons
